,CBAP,CBBP,CBCP,CBDP,N2AP,N2BP,N2CP,N2DP
WBGene00195554,4,3,0,1,0,0,0,3
WBGene00168698,0,0,0,0,0,0,0,0
WBGene00168699,0,0,0,0,0,0,0,0
WBGene00168696,2,20,15,6,1,25,3,12
WBGene00168697,0,0,0,0,0,0,0,0
WBGene00168694,0,0,0,0,0,0,0,0
WBGene00168695,0,0,0,0,0,0,0,0
WBGene00168692,0,0,0,0,0,0,0,0
WBGene00168693,0,0,0,0,0,0,0,0
WBGene00168690,0,0,0,0,0,0,0,0
WBGene00168691,0,0,0,0,0,0,0,0
WBGene00046035,0,0,0,0,0,0,0,0
WBGene00046034,0,0,0,0,0,0,0,0
WBGene00201539,0,0,0,0,0,0,0,0
WBGene00046036,0,0,0,0,0,0,0,0
WBGene00046031,0,0,0,0,0,12,4,3
WBGene00046030,0,0,0,1,7,3,0,0
WBGene00046033,0,0,0,0,0,0,0,0
WBGene00046032,0,0,0,0,0,13,0,4
WBGene00201533,1,6,0,0,0,0,0,2
WBGene00201532,14,25,28,5,6,62,2,24
WBGene00201531,0,9,0,0,0,0,0,0
WBGene00201530,0,0,0,0,0,0,0,0
WBGene00046039,0,0,0,0,0,0,0,0
WBGene00201536,0,0,0,0,0,0,0,0
WBGene00201535,0,0,0,0,0,0,0,0
WBGene00201534,0,0,0,0,0,0,0,0
WBGene00007732,54,151,21,58,0,126,0,135
WBGene00164998,0,0,0,0,0,0,0,0
WBGene00164995,0,0,0,0,0,0,0,0
WBGene00044283,0,0,0,0,0,0,0,0
WBGene00164997,0,0,0,0,0,0,0,0
WBGene00164996,0,0,0,0,0,0,0,0
WBGene00164991,0,1,0,0,0,0,0,0
WBGene00164993,0,0,1,1,0,2,0,2
WBGene00164992,0,0,0,0,0,0,0,0
WBGene00168528,0,0,0,0,0,0,0,0
WBGene00168529,0,0,0,0,0,0,0,0
WBGene00168520,0,0,0,0,0,0,0,0
WBGene00168521,0,0,0,0,0,0,0,0
WBGene00168522,0,0,0,0,0,0,0,0
WBGene00168523,0,0,0,0,0,0,0,0
WBGene00168524,0,0,0,0,0,0,0,0
WBGene00168525,0,4,0,0,0,0,0,0
WBGene00168526,0,0,0,0,0,0,0,0
WBGene00168527,0,0,0,0,0,0,0,0
WBGene00050281,0,0,0,0,0,0,0,0
WBGene00050280,0,0,0,0,0,0,0,0
WBGene00050283,0,0,0,0,0,0,0,0
WBGene00050282,42,126,45,27,59,76,12,29
WBGene00050285,0,0,4,0,0,0,0,0
WBGene00050284,7,10,7,4,1,4,0,2
WBGene00050287,0,0,0,0,0,0,0,0
WBGene00050286,0,0,0,0,0,0,0,0
WBGene00050289,0,0,0,0,0,0,0,0
WBGene00050288,7,46,15,2,6,34,1,9
WBGene00198117,0,0,0,0,0,0,0,0
WBGene00168321,0,0,0,0,0,0,0,0
WBGene00197804,0,0,0,0,0,0,0,0
WBGene00050139,0,0,0,0,0,0,0,0
WBGene00165119,0,0,0,0,0,0,0,0
WBGene00050133,0,0,0,0,0,0,0,0
WBGene00022982,3,6,8,7,5,0,0,2
WBGene00165110,0,0,0,0,0,0,0,0
WBGene00050130,0,0,0,0,0,0,0,0
WBGene00165116,0,0,0,0,0,0,0,0
WBGene00197277,66,58,32,46,38,85,30,53
WBGene00165114,0,0,0,0,0,0,0,0
WBGene00197275,0,0,0,0,0,0,0,0
WBGene00167239,0,0,0,0,0,0,0,0
WBGene00173418,0,0,0,0,0,0,0,0
WBGene00020755,0,0,0,0,0,77,0,0
WBGene00045586,15,57,113,50,0,1,2,1
WBGene00048132,0,0,0,0,0,0,0,0
WBGene00048133,0,0,0,0,0,0,0,0
WBGene00048130,8,10,2,1,0,0,0,4
WBGene00048131,0,0,0,0,0,0,0,0
WBGene00048136,0,0,0,0,0,0,0,0
WBGene00048137,0,0,0,0,0,0,0,0
WBGene00048134,0,0,0,0,0,0,0,0
WBGene00048135,0,0,0,0,0,0,0,0
WBGene00048138,0,0,0,0,0,0,0,0
WBGene00048139,0,0,0,0,0,0,0,0
WBGene00046037,0,0,0,0,0,19,5,5
WBGene00201538,0,0,0,0,0,0,0,0
WBGene00045078,0,0,0,0,115,177,0,130
WBGene00045074,9,34,5,11,7,23,0,4
WBGene00045075,0,0,0,0,0,0,0,0
WBGene00045076,0,0,0,0,0,0,0,0
WBGene00045077,3939,13152,10257,6178,3293,22853,835,6861
WBGene00045071,0,0,0,1,2,2,0,0
WBGene00045072,0,0,0,0,0,0,0,0
WBGene00197485,0,0,0,0,0,0,0,0
WBGene00016188,27,10,0,15,36,0,0,17
WBGene00016189,11,37,0,0,6,62,0,59
WBGene00197898,0,0,0,0,0,4,0,0
WBGene00197899,0,0,0,0,0,0,0,0
WBGene00016180,0,0,0,0,0,0,0,0
WBGene00197897,7,0,10,2,5,0,0,0
WBGene00016182,86,286,178,149,39,410,0,219
WBGene00197895,11,16,12,4,7,34,4,12
WBGene00197892,0,0,0,4,0,0,0,0
WBGene00197893,0,0,0,0,0,0,0,0
WBGene00197890,4,7,0,4,3,0,0,6
WBGene00197891,4,0,8,5,3,37,2,7
WBGene00198978,2,0,0,0,0,0,0,0
WBGene00198979,0,0,0,0,0,0,0,0
WBGene00198974,0,0,0,0,0,0,0,0
WBGene00198975,0,0,0,0,0,0,0,0
WBGene00198976,0,0,0,0,0,0,0,0
WBGene00198977,0,0,0,0,0,0,0,0
WBGene00198970,1,4,0,0,0,0,0,0
WBGene00198971,0,0,0,0,0,9,1,0
WBGene00198972,0,0,0,0,0,0,0,0
WBGene00198973,0,0,0,0,0,0,0,0
WBGene00201101,0,0,0,0,0,0,0,0
WBGene00007473,0,0,0,0,0,0,0,0
WBGene00019203,0,0,0,0,0,0,0,0
WBGene00019200,13,26,51,18,260,324,81,243
WBGene00019201,0,0,0,0,0,0,0,0
WBGene00019207,92,71,85,63,14,140,7,45
WBGene00019204,0,0,24,0,0,0,0,9
WBGene00019205,14,79,16,42,22,73,24,58
