,CBAP,CBBP,CBCP,CBDP,N2AP,N2BP,N2CP,N2DP
WBGene00164999,0,0,4,2,0,0,0,0
WBGene00019208,1086,2543,1682,1017,305,676,65,509
WBGene00019209,118,233,292,139,110,517,28,386
WBGene00016452,0,0,436,0,0,0,0,0
WBGene00016453,0,0,0,0,0,0,0,0
WBGene00016450,12,22,19,25,34,53,0,72
WBGene00016451,0,0,0,0,0,0,0,0
WBGene00016456,0,0,0,0,0,42,0,34
WBGene00016457,5,0,0,3,0,59,0,19
WBGene00016454,0,0,0,0,0,0,0,0
WBGene00016455,0,16,0,13,0,81,0,34
WBGene00165800,0,0,2,0,0,0,0,0
WBGene00165801,0,0,0,0,0,0,0,0
WBGene00165802,0,0,0,0,0,0,0,0
WBGene00016459,0,0,0,0,0,0,0,0
WBGene00165804,0,0,0,0,0,0,0,0
WBGene00165805,0,0,0,0,0,0,0,0
WBGene00165806,0,0,0,0,0,0,0,0
WBGene00165807,0,0,0,0,0,0,0,0
WBGene00164994,0,0,0,0,0,0,0,0
WBGene00195214,0,0,0,0,0,0,0,0
WBGene00197489,0,0,0,0,0,0,0,0
WBGene00044309,0,0,0,0,0,0,0,0
WBGene00044308,0,0,0,0,0,0,0,0
WBGene00020730,18,345,547,296,87,591,0,206
WBGene00044305,0,0,0,0,0,0,0,0
WBGene00044304,0,0,0,0,0,12,0,0
WBGene00044307,0,0,0,0,0,0,0,0
WBGene00044306,0,0,0,0,0,0,0,0
WBGene00044301,0,0,0,0,0,0,0,0
WBGene00044300,0,0,6,6,0,0,0,0
WBGene00044303,2,9,0,2,28,76,3,32
WBGene00044302,0,0,0,0,0,0,0,0
WBGene00007775,0,0,0,0,0,0,0,0
WBGene00021519,0,0,5,0,0,0,0,0
WBGene00021518,7,0,0,0,0,24,0,0
WBGene00021515,639,1211,948,540,1192,4303,264,1690
WBGene00021514,27,68,36,35,18,61,0,29
WBGene00021517,0,0,0,0,0,0,0,0
WBGene00021516,0,0,0,0,0,0,0,0
WBGene00021511,0,0,0,0,0,0,0,0
WBGene00007777,0,0,0,4,0,13,0,8
WBGene00021513,0,0,0,0,0,0,0,0
WBGene00021512,0,211,26,126,13,139,0,85
WBGene00167136,0,0,0,0,0,0,0,0
WBGene00199617,0,0,0,0,0,0,0,0
WBGene00003850,0,0,0,0,0,0,0,0
WBGene00167134,0,0,0,0,0,0,0,0
WBGene00007770,0,0,0,0,0,0,0,0
WBGene00003393,104,195,127,135,55,348,38,162
WBGene00010703,230,468,1703,1038,329,671,95,986
WBGene00023361,0,0,0,0,0,0,0,0
WBGene00199612,1,6,0,2,1,7,0,0
WBGene00023362,0,0,0,0,0,0,0,0
WBGene00199613,0,0,0,0,0,0,0,0
WBGene00023363,0,0,0,0,0,0,0,0
WBGene00167130,0,0,0,0,0,0,0,0
WBGene00003397,84,89,129,132,43,154,0,165
WBGene00167131,0,0,0,0,0,0,0,0
WBGene00023365,0,3,1,1,1,5,2,1
WBGene00023366,0,0,0,0,1,2,0,1
WBGene00167233,0,0,0,0,0,0,0,0
WBGene00023367,2,3,6,9,0,6,2,3
WBGene00011708,0,0,0,0,0,0,0,0
WBGene00007475,0,0,0,0,0,0,0,0
WBGene00172586,0,0,0,0,0,0,0,0
WBGene00167402,0,0,4,0,0,7,4,0
WBGene00167403,0,0,0,0,0,0,0,0
WBGene00167400,0,0,0,0,0,0,0,0
WBGene00167401,0,0,0,0,0,0,0,0
WBGene00167406,0,0,0,0,0,0,0,0
WBGene00167407,0,0,0,0,0,0,0,0
WBGene00199364,0,0,0,0,0,0,0,0
WBGene00199365,0,2,11,0,0,0,0,1
WBGene00199368,0,0,0,0,0,0,0,0
WBGene00167409,0,0,0,0,0,0,0,0
WBGene00005565,0,0,0,0,0,0,0,0
WBGene00198119,0,0,0,0,0,0,0,0
WBGene00172963,0,0,0,0,0,0,0,0
WBGene00172962,0,0,0,0,0,0,0,0
WBGene00172961,0,0,0,0,0,0,0,0
WBGene00172960,0,0,0,0,0,0,0,0
WBGene00172967,0,0,0,0,0,0,0,0
WBGene00172966,0,0,0,0,0,0,0,7
WBGene00172965,0,0,0,0,0,0,0,0
WBGene00172964,0,0,0,0,0,0,0,0
WBGene00172969,0,0,0,0,0,0,0,0
WBGene00172968,0,0,0,0,0,0,0,0
WBGene00165727,0,0,0,0,0,0,0,0
WBGene00165726,0,0,0,0,0,0,0,0
WBGene00197801,0,0,0,0,0,0,0,0
WBGene00197800,0,0,0,0,0,0,0,0
WBGene00197803,43,163,100,71,39,151,9,61
WBGene00165722,0,0,0,0,0,0,0,0
WBGene00002180,0,0,21,0,0,0,0,0
WBGene00023119,3,12,18,8,12,13,2,10
WBGene00023118,6,11,9,8,5,17,3,5
WBGene00023117,7,25,24,15,6,60,4,22
WBGene00023116,0,2,7,2,2,1,0,0
WBGene00023115,3,33,17,9,3,23,3,11
WBGene00023113,25,115,56,30,24,124,16,49
WBGene00023112,11,49,30,20,4,51,3,19
WBGene00023111,251,347,130,101,86,217,26,87
WBGene00023110,7,15,14,7,4,9,2,6
WBGene00198013,0,0,0,0,0,0,0,0
WBGene00200603,0,7,5,3,3,7,1,4
WBGene00197509,0,0,0,0,0,0,0,0
WBGene00198012,0,0,0,0,0,0,0,0
WBGene00008017,0,0,0,0,0,7,0,0
WBGene00171430,0,0,3,0,0,0,0,6
WBGene00171431,0,0,0,0,0,0,0,0
WBGene00171432,0,0,0,0,0,0,0,0
WBGene00171433,0,0,0,0,0,0,0,0
WBGene00171434,0,0,0,0,0,0,0,0
WBGene00171435,0,0,0,0,0,0,0,1
WBGene00171436,0,0,0,0,0,0,0,0
WBGene00171437,0,0,0,0,0,0,0,0
WBGene00171438,0,0,0,0,0,0,0,0
WBGene00171439,0,0,0,4,0,0,0,0
WBGene00198011,27,52,21,0,13,47,1,33
WBGene00173368,0,10,0,0,0,0,0,0
WBGene00173369,0,0,0,0,0,0,0,0
WBGene00173362,0,0,0,0,0,0,0,0
WBGene00173363,0,0,0,0,0,0,0,1
WBGene00173360,0,0,0,0,0,0,0,0
WBGene00173361,0,0,0,0,27,18,11,20
WBGene00173366,0,0,0,0,0,0,0,0
WBGene00173367,0,0,0,0,0,0,0,0
WBGene00173364,0,0,0,0,0,0,0,0
WBGene00173365,0,0,0,0,0,0,0,0
WBGene00255522,0,0,0,0,0,0,0,0
WBGene00008019,0,37,16,8,12,27,0,29
WBGene00008018,15,12,52,48,0,81,0,0
WBGene00200335,0,0,0,0,0,0,0,0
WBGene00014930,0,0,0,0,0,0,0,0
WBGene00045651,0,0,0,0,0,0,0,0
WBGene00198016,0,6,9,0,0,0,0,7
WBGene00022796,0,0,0,0,0,0,0,0
WBGene00022797,0,0,0,0,0,0,0,0
WBGene00022794,61,143,99,92,50,466,58,305
WBGene00022795,0,0,0,0,0,0,0,0
WBGene00022792,153,433,247,237,58,382,32,408
WBGene00022793,118,148,81,128,101,279,58,188
WBGene00022790,0,0,0,0,0,0,0,0
WBGene00006861,0,0,31,10,0,0,0,8
WBGene00022798,0,0,0,23,11,27,0,60
WBGene00006869,0,0,0,0,0,0,0,0
WBGene00195313,0,0,0,0,0,0,0,0
WBGene00167176,0,0,0,0,0,0,0,0
WBGene00003986,0,0,0,11,0,0,0,0
WBGene00003987,0,0,0,0,0,0,0,0
WBGene00007405,1202,53,1660,1111,1216,5063,40,2210
WBGene00007404,0,0,0,0,0,0,0,0
WBGene00003982,68,256,109,160,94,452,29,246
WBGene00003983,0,0,0,0,0,0,0,0
WBGene00007401,0,0,0,0,0,1721,0,1200
WBGene00003981,0,0,0,0,0,0,0,0
WBGene00007409,0,0,0,0,0,0,0,0
WBGene00003989,53,240,118,120,25,163,0,158
WBGene00195312,5,11,0,5,13,21,3,9
WBGene00009085,0,0,0,0,0,0,0,0
WBGene00197278,0,0,0,0,0,0,0,0
WBGene00202419,0,4,0,0,0,0,0,0
WBGene00050793,0,0,0,0,0,0,0,0
WBGene00170479,0,0,0,0,0,0,0,0
WBGene00170478,0,0,0,0,0,0,0,0
WBGene00165896,0,0,0,0,0,0,0,0
WBGene00170473,0,0,0,0,0,0,0,0
WBGene00202410,0,0,0,0,0,0,0,0
WBGene00202413,0,0,0,0,0,0,0,0
WBGene00202412,0,0,0,1,0,4,0,4
WBGene00170477,0,0,0,0,0,0,0,0
WBGene00050791,0,0,0,0,0,0,0,0
WBGene00202417,0,0,0,0,0,0,0,0
WBGene00170474,0,0,0,0,0,0,0,0
WBGene00001580,104,197,117,135,93,240,0,193
WBGene00001581,95,222,165,92,576,1293,149,606
WBGene00001582,34,78,61,39,16,77,20,39
WBGene00001583,57,178,256,175,39,85,0,255
WBGene00001584,59,241,131,164,44,366,0,264
WBGene00001585,0,0,0,0,0,0,0,0
WBGene00001586,0,0,0,0,0,0,0,0
WBGene00001587,0,0,0,0,0,0,0,0
WBGene00001588,0,0,0,0,0,0,0,0
WBGene00001589,53,222,107,111,35,191,7,139
WBGene00168373,0,0,0,0,0,0,0,0
WBGene00050796,0,0,0,0,0,0,0,0
WBGene00172185,0,0,0,0,0,0,0,0
WBGene00022983,0,0,0,0,0,0,31,0
WBGene00172187,0,0,0,0,1,0,0,0
WBGene00172186,2,0,0,0,0,0,0,0
WBGene00172181,0,4,0,0,0,0,0,0
WBGene00050795,0,0,0,0,0,0,0,0
WBGene00172183,0,0,0,0,0,0,0,0
WBGene00172182,0,0,0,0,0,0,0,0
WBGene00198255,0,0,0,0,0,0,0,0
WBGene00165890,0,0,0,0,0,0,0,0
WBGene00172189,0,0,0,0,0,0,0,0
WBGene00050131,0,0,0,0,0,0,0,0
WBGene00198254,0,0,0,0,0,0,0,0
WBGene00165111,0,0,0,0,0,0,0,0
WBGene00198257,0,0,0,0,0,0,0,0
WBGene00167175,0,0,0,0,0,0,0,0
WBGene00050137,0,0,0,0,0,0,0,0
WBGene00168376,0,0,0,0,0,7,3,4
WBGene00002583,84,71,48,101,93,285,21,212
WBGene00050136,0,0,0,0,0,0,2,0
WBGene00006792,0,0,0,0,0,0,0,0
WBGene00198259,0,0,0,0,0,0,0,0
WBGene00022985,12,18,12,5,5,21,0,8
WBGene00198258,0,0,0,0,0,0,0,0
WBGene00022984,0,6,1,0,4,1,0,0
WBGene00000987,106,321,130,52,69,193,36,151
WBGene00000986,0,0,0,0,0,0,0,0
WBGene00000985,14,97,39,28,0,59,20,72
WBGene00000984,0,0,0,0,0,0,0,0
WBGene00000983,0,0,0,0,0,0,0,0
WBGene00000982,165,0,69,6,306,696,182,429
WBGene00000981,7,16,28,7,0,0,0,0
WBGene00000980,25,35,19,8,8,32,2,23
WBGene00198355,0,0,1,0,0,0,0,0
WBGene00000989,0,0,0,0,0,0,0,0
WBGene00000988,0,13,0,11,5,3,6,8
WBGene00171988,0,0,0,0,0,0,0,0
WBGene00171989,0,0,0,0,0,0,0,0
WBGene00002632,66,165,180,28,70,251,0,108
WBGene00171980,0,0,0,0,0,0,0,0
WBGene00171981,0,0,0,0,0,0,0,0
WBGene00171982,0,0,0,0,0,0,0,0
WBGene00171983,0,0,0,0,0,0,0,0
WBGene00171984,0,0,0,0,0,0,0,0
WBGene00171985,0,0,0,0,0,0,0,0
WBGene00171986,0,0,0,0,0,0,0,0
WBGene00171987,0,0,0,0,0,0,0,0
WBGene00198356,0,0,0,0,0,8,0,0
WBGene00014160,7,0,0,0,0,0,0,0
WBGene00014161,0,0,0,0,0,0,0,0
WBGene00014162,0,0,0,0,0,0,0,0
WBGene00014163,107,170,222,130,86,209,0,182
WBGene00014164,0,0,0,0,0,0,0,9
WBGene00014165,394,621,348,299,139,517,56,337
WBGene00014166,578,811,634,238,890,2142,147,1344
WBGene00014168,16,27,80,33,14,99,6,41
WBGene00014169,0,0,0,4,0,0,0,0
WBGene00000671,33,0,0,0,0,48,0,0
WBGene00000670,0,0,0,0,0,0,0,0
WBGene00000673,0,0,0,11,7,21,0,4
WBGene00000672,0,95,19,34,0,47,0,24
WBGene00000675,0,0,0,0,0,0,0,0
WBGene00000674,0,8,14,6,8,0,4,3
WBGene00018809,0,0,0,0,0,0,0,0
WBGene00018808,0,0,0,0,0,47,0,86
WBGene00018807,2846,5982,5006,3203,839,1834,119,1241
WBGene00018806,96,261,170,173,38,161,12,108
WBGene00018805,0,0,0,0,0,114,0,78
WBGene00018804,1279,3610,2396,1350,687,2527,78,1053
WBGene00018803,666,1462,987,614,394,1160,176,420
WBGene00018802,9,44,27,31,0,93,0,41
WBGene00005009,247,350,209,197,213,524,98,320
WBGene00005008,10,0,7,0,0,32,0,0
WBGene00005001,0,0,0,0,0,0,0,5
WBGene00005000,0,0,0,0,0,0,0,0
WBGene00005003,0,0,0,0,0,0,0,0
WBGene00005002,0,0,0,0,0,0,0,0
WBGene00005005,0,0,0,0,0,0,0,0
WBGene00005004,0,0,0,0,0,0,0,0
WBGene00005007,13,81,50,16,14,39,0,29
WBGene00005006,0,0,0,27,0,143,0,0
WBGene00047308,0,0,0,0,0,0,0,0
WBGene00047309,0,0,0,0,0,0,0,0
WBGene00047304,0,0,0,2,0,0,0,2
WBGene00047305,0,3,0,0,0,0,0,0
WBGene00047306,0,0,0,0,0,0,0,0
WBGene00047307,0,0,0,0,0,0,0,0
WBGene00047300,0,0,0,0,0,0,0,0
WBGene00047301,0,0,0,0,0,0,0,0
WBGene00047302,0,0,0,0,0,0,0,0
WBGene00047303,1,0,0,0,0,0,0,0
WBGene00201339,0,0,0,0,0,0,0,0
WBGene00201338,0,0,0,0,0,3,3,0
WBGene00201331,0,0,0,2,0,0,0,0
WBGene00201330,0,0,0,0,0,9,0,0
WBGene00201333,0,0,0,0,0,0,0,0
WBGene00201332,0,0,0,0,0,0,0,0
WBGene00201335,0,0,0,0,0,0,0,0
WBGene00201334,0,0,0,0,0,0,0,0
WBGene00201337,4,0,0,0,0,0,0,0
WBGene00201336,0,0,0,0,0,0,0,0
WBGene00022249,362,707,484,335,811,1502,322,766
WBGene00015691,78,79,63,78,58,218,48,124
WBGene00011531,362,3790,427,1688,1097,3942,99,1868
WBGene00015693,48,162,42,75,7,51,0,21
WBGene00015692,0,0,0,0,0,0,0,0
WBGene00015695,0,0,0,0,0,0,0,0
WBGene00015694,0,0,0,0,0,0,0,0
WBGene00011536,0,0,0,0,0,0,0,0
WBGene00015696,0,0,0,0,0,0,15,0
WBGene00011538,96,302,195,266,161,1280,0,626
WBGene00015698,867,2042,901,1162,411,2187,298,1363
WBGene00174589,0,0,0,0,0,0,0,0
WBGene00174588,0,0,0,0,0,0,0,0
WBGene00169633,0,0,0,0,0,0,0,0
WBGene00169632,0,0,0,0,0,0,0,0
WBGene00004354,0,0,0,0,0,44,0,0
WBGene00004355,222,461,370,221,38,687,16,382
WBGene00169637,0,0,0,0,0,0,0,0
WBGene00169636,0,0,0,0,0,0,0,0
WBGene00004350,0,0,0,0,0,0,0,0
WBGene00004351,0,0,0,0,0,0,0,0
WBGene00165107,0,0,0,0,0,0,0,0
WBGene00169639,0,0,0,0,0,0,0,0
WBGene00169638,0,0,0,0,0,0,0,0
WBGene00004358,21,57,109,38,78,396,0,134
WBGene00004359,0,0,0,0,0,0,0,0
WBGene00022990,0,4,1,1,1,2,0,1
WBGene00015349,28,29,5,28,0,0,0,0
WBGene00015348,0,0,0,37,0,135,0,64
WBGene00018119,34,49,46,23,16,139,11,69
WBGene00018118,12,35,50,28,4,50,6,47
WBGene00018115,0,0,0,0,0,0,0,10
WBGene00018114,0,0,0,0,0,0,0,0
WBGene00018117,0,0,7,3,0,8,1,0
WBGene00015340,0,0,0,0,0,0,0,0
WBGene00018111,0,0,0,0,0,0,0,0
WBGene00015346,18,58,16,18,0,22,0,19
WBGene00015345,0,0,0,0,0,0,0,0
WBGene00018112,0,0,0,0,0,0,0,0
WBGene00005917,0,0,0,0,0,0,0,0
WBGene00005916,0,0,0,0,0,0,0,0
WBGene00005915,0,0,0,0,0,0,0,0
WBGene00005914,0,0,0,0,0,0,0,0
WBGene00005913,0,0,0,0,0,0,0,0
WBGene00005912,0,0,0,0,0,0,0,0
WBGene00005911,0,0,0,0,0,0,0,0
WBGene00005910,0,0,0,0,0,0,0,0
WBGene00005919,0,0,0,0,0,0,0,0
WBGene00005918,0,0,0,0,0,0,0,0
WBGene00008521,0,0,0,0,0,0,0,0
WBGene00009088,0,0,6,0,0,0,0,0
WBGene00008523,0,0,0,0,0,0,0,0
WBGene00008522,0,0,0,0,0,0,0,0
WBGene00008524,0,0,0,0,0,0,0,0
WBGene00008527,1451,2979,1186,1235,115,485,107,367
WBGene00008526,0,0,0,0,0,0,0,0
WBGene00008529,8,51,40,16,11,74,0,50
WBGene00008528,0,0,0,0,0,0,0,0
WBGene00003511,0,0,0,0,0,26,0,0
WBGene00003510,0,0,0,0,0,0,0,0
WBGene00003515,0,23,0,3,0,7,0,3
WBGene00003514,0,0,0,0,0,0,0,0
WBGene00003517,7,0,40,38,41,0,0,41
WBGene00003516,0,0,0,0,0,0,0,0
WBGene00003519,0,0,0,0,0,0,0,0
WBGene00003518,0,0,0,0,0,0,0,0
WBGene00012708,0,0,0,0,0,0,0,0
WBGene00201807,0,0,0,0,0,0,0,0
WBGene00201806,0,0,0,0,0,10,0,0
WBGene00201805,0,0,0,0,0,0,0,0
WBGene00201804,0,0,0,0,0,0,0,0
WBGene00201803,0,0,0,0,0,0,0,0
WBGene00201802,0,0,0,0,0,0,0,0
WBGene00201801,0,0,0,0,0,0,0,0
WBGene00201800,0,8,0,0,0,0,0,0
WBGene00201809,0,0,0,0,0,0,0,0
WBGene00201808,0,0,0,0,0,0,0,0
WBGene00045278,0,0,0,0,0,0,0,3
WBGene00045279,0,0,0,0,0,0,0,0
WBGene00045272,12410,20692,18689,10251,42456,103725,9450,51215
WBGene00045273,0,0,0,0,0,0,0,0
WBGene00045270,0,0,0,0,0,0,0,0
WBGene00045271,0,0,0,0,0,0,0,0
WBGene00045276,0,0,0,0,0,0,0,0
WBGene00045277,0,0,0,0,0,3234,0,0
WBGene00045275,0,0,0,0,0,0,0,0
WBGene00013978,0,0,0,0,0,0,0,0
WBGene00013979,0,0,0,0,0,0,0,0
WBGene00013972,0,0,0,0,0,0,0,0
WBGene00013973,0,0,0,0,0,0,0,0
WBGene00013970,0,0,0,0,0,0,0,0
WBGene00013971,0,0,0,0,0,0,0,0
WBGene00013976,0,0,0,0,0,0,0,0
WBGene00013974,0,0,0,0,0,0,0,0
WBGene00013975,0,0,0,0,0,0,0,0
WBGene00010582,152,341,218,205,125,267,32,174
WBGene00012379,108,109,95,77,0,372,15,218
WBGene00012378,0,0,0,0,0,0,0,0
WBGene00012373,1176,749,2224,1385,485,3381,77,1593
WBGene00012372,0,0,0,0,0,0,0,0
WBGene00012371,1666,2382,1938,247,1286,4144,255,1972
WBGene00012370,54,110,74,65,47,191,11,224
WBGene00012377,8,14,13,5,7,15,0,6
WBGene00012376,0,46,0,19,0,12,0,45
WBGene00012375,337,608,501,417,168,811,86,498
WBGene00012374,4861,927,9326,504,4607,0,0,381
WBGene00219352,0,0,0,0,0,0,0,0
WBGene00219351,0,0,0,0,0,0,0,0
WBGene00019441,3538,6098,4758,3056,3841,10485,1994,5844
WBGene00019442,194,445,525,249,517,1525,142,513
WBGene00019443,0,0,0,0,0,0,0,0
WBGene00008759,0,0,0,0,0,0,0,0
WBGene00019445,0,0,0,0,0,0,0,0
WBGene00007878,0,0,4,0,0,7,0,0
WBGene00007876,0,3,0,1,0,0,0,0
WBGene00007877,0,0,0,0,0,0,0,0
WBGene00007874,0,0,0,0,0,12,0,11
WBGene00007875,0,0,0,0,0,43,0,7
WBGene00007872,0,0,0,0,0,15,0,0
WBGene00007873,0,0,0,0,0,0,0,0
WBGene00007870,0,0,0,0,0,0,0,0
WBGene00007871,0,0,0,0,0,0,0,0
WBGene00016610,27,156,135,104,26,30,20,42
WBGene00016611,20,27,36,35,10,19,8,18
WBGene00016612,0,0,0,0,0,0,0,0
WBGene00016613,0,11,8,6,1,14,7,18
WBGene00016614,0,0,0,0,0,0,0,0
WBGene00016616,0,0,0,0,0,0,0,0
WBGene00016617,0,0,0,17,0,61,13,72
WBGene00016619,0,0,0,0,0,0,0,0
WBGene00045898,0,0,0,0,0,0,0,0
WBGene00045899,0,0,0,0,0,0,0,0
WBGene00045896,0,8,1,0,0,0,0,3
WBGene00045897,0,0,2,0,0,0,0,0
WBGene00045894,29,57,50,34,16,26,1,20
WBGene00045895,33,20,15,6,9,25,3,12
WBGene00045892,0,7,0,2,0,0,0,0
WBGene00045893,5,0,0,0,0,0,0,0
WBGene00045890,1,7,0,0,0,0,0,0
WBGene00045891,1,0,0,0,0,0,0,0
WBGene00166113,0,0,0,0,0,0,0,0
WBGene00166112,0,0,0,0,0,4,0,0
WBGene00019998,0,0,0,0,0,0,0,0
WBGene00166110,0,0,0,0,0,0,0,0
WBGene00166117,0,0,0,0,0,0,0,0
WBGene00166116,0,0,0,0,0,0,0,0
WBGene00166115,0,0,0,0,0,0,0,0
WBGene00166114,0,0,0,0,0,0,0,0
WBGene00019992,0,0,0,0,0,0,0,0
WBGene00013397,0,0,0,0,0,0,0,0
WBGene00013394,0,0,0,0,0,0,0,0
WBGene00013395,0,0,0,0,0,0,0,0
WBGene00013392,0,0,0,0,0,0,0,0
WBGene00013393,0,0,0,0,0,0,0,0
WBGene00013390,0,0,0,0,0,0,0,0
WBGene00019995,0,0,0,0,0,0,0,0
WBGene00048448,0,0,0,1,0,0,0,0
WBGene00048449,0,0,0,0,0,0,0,0
WBGene00048442,0,0,0,0,0,0,0,0
WBGene00048443,0,0,0,0,0,0,0,0
WBGene00049757,0,0,0,0,0,0,0,0
WBGene00048441,0,0,0,0,0,0,0,0
WBGene00048446,0,0,0,0,0,0,0,0
WBGene00048447,0,0,0,0,0,0,0,0
WBGene00048444,0,0,0,0,0,0,0,0
