,CBAP,CBBP,CBCP,CBDP,N2AP,N2BP,N2CP,N2DP
K07E8.9,0,0,0,0,0,0,0,0
F18A1.4b,0,0,0,158,0,0,32,0
F18A1.4a,181,106,98,0,39,91,0,76
Y43D4A.78,0,0,0,0,0,0,0,0
F15E6.10,0,0,0,0,0,0,0,0
Y48C3A.5a,0,0,0,0,0,0,0,0
Y48C3A.5b,5,39,0,3,9,20,0,6
Y48C3A.5c,0,0,0,0,0,0,0,0
T23F11.9,0,0,0,0,0,0,0,0
T23F11.8,0,0,1,0,0,0,0,0
T23F11.5,0,0,0,0,0,0,0,0
T23F11.4,0,0,0,0,0,0,0,0
T23F11.7,0,0,0,0,0,0,0,3
Y105C5A.1165,0,0,0,0,0,0,0,0
Y37H2C.1,0,0,0,0,4,0,0,0
T23F11.2,40,65,94,21,32,140,5,70
F13D11.19,0,0,0,0,0,0,0,0
F08E10.8,0,0,0,0,0,0,0,0
F08E10.6,0,0,0,0,0,24,0,0
F08E10.7,0,0,0,0,0,0,0,0
F08E10.4,0,0,0,0,0,0,0,0
F08E10.5,0,0,0,0,0,0,0,0
F08E10.2,0,0,0,0,0,0,0,0
F08E10.3,0,0,0,0,0,0,0,0
F08E10.1,0,0,0,0,0,0,0,0
K07F5.8,0,0,0,0,0,0,0,0
F59A1.19,0,0,0,0,0,0,0,0
K07F5.2,28,50,59,38,55,132,42,81
K07F5.3,35,42,40,40,57,108,41,99
K07F5.1,85,81,50,61,65,113,18,134
K07F5.6,17,20,43,30,0,21,0,40
K07F5.7,0,0,0,0,0,0,0,0
K07F5.4,44,133,140,94,45,232,0,115
K07F5.5,93,205,217,99,115,419,177,232
E04A4.4c.2,0,0,0,0,0,0,0,0
E04A4.4c.1,0,0,0,0,0,0,0,0
C04E6.8,0,0,0,0,0,0,0,0
ZK616.10c,0,0,0,0,0,0,0,0
C04E6.3,0,0,0,0,0,0,0,0
Y65B4A.8.2,0,0,0,0,0,0,0,0
Y65B4A.8.1,628,455,336,249,280,814,204,497
C04E6.7,0,0,0,0,0,0,0,0
C04E6.6,0,0,0,13,0,0,0,0
C04E6.5,0,0,0,0,0,0,0,0
C04E6.4,0,0,13,0,0,0,0,0
E01G4.8,0,0,0,0,0,0,0,0
E01G4.9,0,0,0,0,0,0,0,0
E01G4.5,0,0,0,0,330,801,0,46
E01G4.6,13,20,0,0,0,26,0,0
E01G4.7,0,0,0,8,4903,21524,0,946
F27D9.1a,0,0,0,0,0,0,0,0
F35G12.2.1,0,0,0,0,0,0,0,0
F35G12.2.2,0,0,0,66,0,0,0,0
F35G12.2.3,0,0,0,0,0,0,0,0
C04H5.3,0,0,0,0,0,0,0,0
C04H5.2,35,53,0,0,0,0,0,0
C04H5.1,0,37,35,0,17,16,0,24
F13H10.3c.2,0,0,0,0,0,0,0,0
C54E4.3,0,0,0,0,0,0,0,0
C54E4.1,3,0,0,0,0,0,0,0
C54E4.6,0,0,0,0,0,0,0,0
C54E4.7,0,4,0,0,0,0,0,0
C04H5.9,0,0,0,0,0,0,0,0
C54E4.5,0,0,0,0,0,0,0,0
F27C8.7,0,0,0,0,0,0,0,0
F27C8.5,32,82,98,0,0,24,0,24
F27C8.3,0,0,0,0,0,0,0,0
F27C8.2,0,0,0,0,0,0,0,0
F27C8.9,0,0,0,0,0,0,0,0
F27C8.8,0,0,0,0,0,0,0,0
F36F2.8,0,0,0,0,0,0,0,0
F36F2.9,0,0,0,0,0,0,0,0
F56D12.10,0,0,0,0,0,0,0,0
F56D12.11,0,0,0,0,0,0,0,0
F36F2.2,0,0,0,0,0,0,0,0
R03A10.14,0,0,0,0,5,0,0,0
F36F2.4,0,49,0,0,12,75,0,88
R03A10.12,0,0,0,0,0,0,0,0
F36F2.6,117,340,171,175,30,68,0,111
R03A10.10,0,0,2,0,0,0,0,0
C39B10.6a,67,31,69,22,0,136,0,78
C39B10.6b,2,0,2,1,1,1,2,1
F13G3.13,0,0,0,0,0,0,0,0
Y10G11A.30,0,0,0,0,0,0,0,0
T25F10.8,0,0,0,0,0,0,0,0
T21H3.1a,0,0,0,0,0,0,0,0
F13H10.3c.1,0,0,0,0,0,0,0,0
Y10G11A.32,0,0,0,0,0,0,0,0
Y10G11A.35,0,0,0,0,0,0,0,0
B0495.22,0,0,0,0,0,0,0,0
C34B4.11,0,0,4,2,0,3,0,0
Y67A10A.228,0,0,0,0,0,0,0,0
Y67A10A.229,0,0,0,0,0,0,0,0
ZK154.5.1,0,0,0,0,0,0,0,0
Y67A10A.227,0,0,0,0,0,0,0,0
Y67A10A.224,0,0,0,0,0,0,0,0
Y67A10A.225,0,0,0,0,0,0,0,0
Y67A10A.222,0,0,0,0,0,0,0,0
Y67A10A.223,0,0,1,0,0,0,0,0
Y67A10A.220,0,0,0,0,0,0,0,0
Y67A10A.221,0,0,0,0,0,0,0,0
Y80D3A.2d,0,0,0,0,0,0,0,0
C35E7.5b,0,0,0,0,0,16,0,0
K11E8.1o,0,0,0,0,0,0,0,0
K11E8.1n,0,0,0,0,0,0,0,0
K11E8.1m,0,0,0,0,0,0,0,0
Y51H1A.2a,232,318,149,261,134,1021,32,364
Y51H1A.2b,0,0,0,0,0,0,0,0
Y51H1A.2c,0,0,0,0,0,20,0,0
Y51H1A.2d,0,0,0,0,0,0,0,0
F54C9.8,325,1143,699,457,347,1820,119,823
F54C9.9,0,15,20,36,18,0,0,12
M03F4.13,6,0,0,0,2,0,0,0
M03F4.12,0,0,4,0,0,11,0,0
D1022.11,0,0,0,0,0,0,0,0
K11E8.1s,0,0,0,0,0,0,0,0
K11E8.1r,350,145,466,52,11,140,0,66
F54C9.2,0,11,4,20,12,29,0,34
K11E8.1p,0,0,0,0,0,0,0,0
F54C9.4,130,235,504,181,112,401,65,228
F54C9.5,57,178,102,142,35,146,0,116
K11E8.1t,0,0,0,0,0,0,0,0
C04G6.1a,0,0,0,0,0,0,0,0
C04G6.1b,0,0,0,0,0,0,0,0
W02B12.6a,557,1006,619,841,165,771,119,812
W02B12.6b,0,0,0,0,0,0,0,0
T08G5.9,0,0,0,0,0,0,0,0
T08G5.8,0,0,0,0,0,0,0,0
Y64G10A.320,0,0,0,0,0,0,0,0
Y64G10A.321,0,0,0,0,0,0,0,0
Y64G10A.326,8,22,12,2,3,7,0,6
Y64G10A.327,0,0,0,0,0,0,0,0
Y64G10A.324,0,0,0,0,0,0,0,0
Y64G10A.325,0,0,0,0,0,0,0,0
T08G5.1,0,0,0,0,0,0,0,0
Y64G10A.328,0,0,0,0,0,0,0,0
Y64G10A.329,0,0,0,0,0,0,0,0
T08G5.4,0,0,0,0,0,0,0,0
T08G5.7,0,0,614,0,182,0,0,0
W05G11.6b.2,0,0,0,0,0,0,0,0
W05G11.6b.3,0,0,0,0,0,0,0,0
W05G11.6b.1,0,0,0,0,0,0,0,0
Y51H4A.25b,0,0,0,0,0,0,0,0
F57G4.12,9,8,3,1,4,6,2,15
Y62E10A.2.4,26,0,0,48,0,0,0,0
Y62E10A.2.3,0,0,0,0,0,0,0,0
Y62E10A.2.2,0,0,0,0,0,0,0,0
Y62E10A.2.1,0,0,0,0,0,0,0,0
T25F10.9,0,0,0,0,0,0,0,0
C04G6.11,0,0,0,0,0,0,0,0
C04G6.10,0,0,0,0,0,0,0,0
C04G6.13,0,0,0,0,0,0,0,0
C04G6.12,16,10,7,4,5,5,0,9
C04G6.15,10014,23351,15358,11827,10732,28767,4618,17131
C04G6.14,0,0,0,0,0,0,0,0
F57G4.13,8,8,5,1,0,0,2,0
Y45G12C.2b,0,0,0,0,0,0,0,0
C17G1.4b,0,0,0,0,0,0,0,0
ZK328.8b.1,0,0,0,0,0,0,0,0
R02D1.1a,0,0,0,0,0,0,0,0
T06C12.2,0,0,0,0,0,0,0,0
F23B2.5a,0,7,6,0,9,6,5,0
F23B2.5b,0,0,0,0,0,0,0,0
F23B2.5c,0,0,0,0,0,0,0,0
T06C12.6,8,0,0,0,0,44,0,13
T06C12.7,73,178,158,120,108,591,97,998
T06C12.4,42,49,32,26,0,78,20,47
T06C12.5,0,0,0,0,0,0,0,3
Y48G1BR.1,8,24,31,9,18,75,5,47
K01G5.8a,0,0,0,0,0,0,0,0
K01G5.8b,0,0,0,131,0,0,0,0
C04E6.9,0,0,0,0,0,0,0,0
F40H3.2.1,0,0,0,0,0,0,0,0
C15C8.1,31,22,51,39,0,0,0,0
C06G8.4,0,0,0,10,0,0,0,0
C06G8.7,0,0,0,2,0,0,0,0
C06G8.6,0,0,0,0,0,0,0,0
C46F11.4.1,0,0,0,0,0,0,0,0
C15C8.4,289,310,213,167,139,496,73,409
C15C8.7,104,161,126,106,0,433,74,297
C46F11.4.2,127,291,200,176,3,124,0,140
C15C8.9,0,0,0,0,0,0,0,0
C15C8.8,0,0,0,0,0,0,0,0
C06G8.8,0,0,0,0,0,0,0,0
C42D8.1.2,0,0,0,0,0,0,0,0
F16B4.6b,0,0,0,0,0,0,0,0
K12H4.3,54,170,43,59,36,173,14,90
K12H4.2,0,0,0,0,0,0,0,0
K12H4.1,8,43,6,3,0,4,6,3
C27A7.6d.1,0,0,0,0,0,0,0,0
K12H4.6,0,0,0,0,0,0,0,0
K12H4.5,49,119,95,85,89,318,41,182
K12H4.4,0,0,0,0,0,0,0,0
F55C5.10,0,0,0,0,0,0,0,0
B0001.4b,508,887,638,391,219,945,79,493
B0001.4a,0,0,0,0,0,0,0,0
T10B10.4a.2,0,0,0,0,0,0,0,0
B0393.8,0,218,0,0,128,573,29,194
K07E12.7,0,0,0,0,0,0,0,0
B0393.4,106,175,145,105,50,218,75,94
B0393.5,6,38,12,5,4,0,0,14
B0393.6,122,45,196,114,66,222,14,141
B0393.7,0,0,0,0,0,0,0,0
B0393.3,38,207,114,66,16,121,13,53
F34D10.10,0,0,0,0,0,0,0,1
T28C6.1b.1,0,0,0,0,0,0,0,0
T28C6.1b.2,0,0,0,0,0,0,0,0
F22B8.6b,0,0,0,0,0,0,0,0
Y57G11C.512,0,0,0,0,0,0,0,0
Y57G11C.513,0,0,0,0,0,0,0,0
Y57G11C.510,0,0,0,0,0,0,0,0
Y57G11C.511,0,0,0,4,0,0,0,11
Y57G11C.516,0,0,0,0,0,0,0,0
Y57G11C.517,0,0,0,0,2,3,0,4
Y57G11C.514,0,0,0,0,0,0,0,4
Y57G11C.515,3,1,0,1,0,2,0,1
Y57G11C.518,0,0,0,0,0,0,0,0
Y57G11C.519,0,0,0,0,0,0,0,0
