,CBAP,CBBP,CBCP,CBDP,N2AP,N2BP,N2CP,N2DP
Y97E10B.12,0,1,0,1,0,0,0,0
C50D2.8a,0,0,0,0,0,0,0,0
C50D2.8b,76,0,0,96,0,0,0,0
C50D2.8c,0,0,0,0,0,55,0,31
K05D4.9,0,0,0,0,0,0,0,0
T21E12.4a,484,949,665,714,471,1304,125,738
T21E12.4b,0,0,0,0,0,0,0,0
Y37E11AR.2,284,593,401,345,163,371,35,153
F17C11.9c,0,0,0,0,0,0,0,0
Y37E11AR.1,0,0,0,0,0,0,0,0
Y105C5A.368,0,0,0,0,0,0,0,0
Y105C5A.369,0,0,0,0,0,0,0,0
Y105C5A.360,0,0,0,0,0,0,0,0
Y57G11B.57,0,0,0,0,3,0,0,6
C06C6.11,0,0,0,0,0,0,0,0
C06C6.10,28,65,11,12,0,1,1,0
Y105C5A.364,0,0,0,0,0,0,0,0
Y105C5A.365,0,0,0,0,0,0,0,0
Y105C5A.366,0,0,0,0,0,0,0,0
Y105C5A.367,0,5,0,0,0,3,0,0
Y51H4A.579,0,0,0,0,0,0,0,0
Y57G11B.54,0,0,0,0,0,0,0,0
Y116A8B.55,0,0,0,0,0,0,0,0
Y116A8B.54,0,0,0,0,0,0,0,0
Y116A8B.57,0,0,0,0,0,0,0,0
Y116A8B.56,0,0,0,0,0,0,0,0
Y116A8B.51,0,0,0,0,0,0,0,0
Y116A8B.50,0,0,0,0,0,0,0,0
Y116A8B.53,0,0,0,0,0,0,0,0
Y116A8B.52,0,0,0,0,0,0,0,0
Y61A9LA.3b,0,0,0,0,0,0,0,0
Y61A9LA.3c,0,0,0,0,0,0,0,0
R04E5.13,6,11,10,8,5,17,3,5
Y61A9LA.3a,209,309,280,285,145,426,194,262
R04E5.15,0,0,0,0,0,0,0,0
Y116A8B.58,3,11,0,0,0,0,0,0
R04E5.17,7,16,8,8,8,28,0,20
R04E5.16,11,15,6,6,2,6,3,7
C50E3.11,78,80,24,31,18,56,0,66
Y57G11B.58,0,0,0,0,0,0,0,0
C50E3.10,0,0,0,0,0,0,0,0
Y58A7A.1a,0,0,0,0,0,0,0,0
Y58A7A.1b,0,0,0,0,0,0,0,0
C05D10.4b,0,0,0,0,0,0,0,0
Y51H4A.570,0,0,0,0,0,0,0,0
C50E3.12,34,16,50,37,863,3635,382,2168
C35D6.13b,0,0,0,0,0,0,0,0
Y46H3B.1b,0,0,0,0,0,0,0,0
C50E3.15,0,0,0,0,0,0,0,0
Y46H3B.1a,0,0,0,0,0,0,0,0
C50E3.14,0,0,0,0,0,0,0,0
Y41E3.7e.2,0,0,0,0,0,0,0,0
Y41E3.7e.3,0,0,0,0,0,0,0,0
Y105C5B.435,0,0,0,0,0,0,0,0
Y41E3.7e.1,0,0,0,0,0,0,0,0
Y105C5B.433,0,0,0,0,2,2,0,2
Y105C5B.432,0,0,0,0,0,0,0,0
Y105C5B.431,0,0,0,0,0,0,0,0
Y105C5B.430,0,0,4,0,0,0,0,0
C06A5.7b,0,0,0,0,0,0,0,0
C50E3.16,0,0,0,0,0,0,0,0
C09F12.1.2,0,0,0,0,0,0,0,0
Y38H6C.5,2509,4149,4450,2187,5195,17053,1926,5907
Y105C5B.439,0,0,0,1,1,0,0,0
Y105C5B.438,0,0,0,0,0,0,0,0
R02D5.9,0,0,0,0,0,0,0,0
F47A4.3a,10,0,0,0,0,0,0,0
K08E4.5b,0,0,0,0,0,0,0,0
C05E11.16,0,0,0,0,0,0,0,0
R06A4.2,132,202,144,142,118,248,0,129
R06A4.6,1953,4847,3654,2759,1126,7072,213,2333
R06A4.7,45,115,44,80,33,147,23,89
F11A10.3a.2,105,287,168,178,121,290,54,222
K01F9.5b,0,0,0,0,0,0,0,0
B0336.8,0,0,0,0,0,0,0,0
C01G8.4.2,0,0,0,14,0,0,0,0
C01G8.4.1,0,0,0,0,0,0,0,0
F13B9.1b,0,0,0,0,0,0,0,0
F13B9.1c,0,0,0,0,0,0,0,0
F13B9.1a,41,200,121,91,714,925,589,593
ZK1320.14,0,0,0,0,0,0,0,0
Y82E9BR.17b,0,0,0,0,0,0,0,0
K01F9.5a,0,6,0,3,4,0,0,2
T27A1.2a,0,0,0,0,0,0,0,0
ZK1320.10,0,0,0,0,0,0,0,0
T27A1.2c,5,85,112,67,3,36,0,10
T27A1.2b,0,0,0,0,0,0,0,0
E01H11.1b,0,0,0,0,0,0,0,0
Y95D11A.t1,0,0,2,0,0,8,0,2
ZC518.1b,0,0,0,0,0,0,0,0
R07E3.5b.2,0,0,0,0,0,0,0,0
ZC518.1c,0,0,0,0,0,0,0,0
F15G9.t2,15,44,17,13,4,49,6,17
W10G11.13,0,0,0,0,0,0,0,0
F26D11.10c,0,0,0,0,0,0,0,0
F15G9.t1,15,26,18,17,7,34,7,26
D1065.1c,0,0,0,0,0,0,0,0
C27D6.11,0,17,22,28,24,25,0,51
T05H4.11.1,37,184,125,130,61,88,14,66
D1065.1b,0,0,0,0,0,0,0,0
C48B6.11,0,0,0,0,0,0,0,0
C27D6.10,0,0,0,0,0,0,0,0
F45D11.9,166,82,126,75,121,431,39,196
F45D11.8,0,2,0,0,0,0,0,0
M05D6.8b,0,0,0,0,0,0,0,0
R05G6.9,0,0,0,3,0,0,0,0
R05G6.8,4877,8420,5032,3182,3932,9251,3762,7489
K03D7.11,0,0,0,0,0,0,0,0
F45D11.1,0,0,0,0,0,0,0,0
R05G6.4,0,0,0,17,0,0,0,12
R05G6.7,171,730,305,252,184,860,127,504
R05G6.6,0,0,15,0,0,0,0,0
F45D11.5,0,0,0,0,0,29,0,0
Y47D3A.6b,0,0,0,0,0,0,0,0
Y47D3A.6a,1209,2245,1288,1623,544,1611,156,923
C34G6.13,0,0,0,0,0,0,0,0
Y43D4A.148,0,0,0,0,0,0,0,0
Y43D4A.149,0,0,0,0,0,0,0,0
C34G6.10,0,0,0,0,0,0,0,0
F08C6.2a,0,0,0,0,0,11,0,5
Y43D4A.143,0,0,0,0,0,0,0,0
Y43D4A.140,0,0,0,0,0,0,0,0
Y43D4A.141,0,0,0,0,0,0,0,0
Y43D4A.146,0,0,0,0,0,0,0,0
Y43D4A.147,0,0,0,0,0,0,0,0
Y43D4A.144,0,0,0,0,0,0,0,0
Y43D4A.145,0,0,0,0,0,0,0,0
C24A3.2a.5,0,0,0,0,0,0,0,0
K07E3.7c,7,0,41,9,0,72,0,24
K07E3.7b,0,0,0,0,0,0,0,0
F13B9.10,3,0,3,0,0,0,0,0
T04C12.4.1,0,0,0,0,0,0,0,0
T04C12.4.2,47,187,113,93,6,162,40,119
T04C12.4.3,0,0,0,0,0,0,0,0
Y74C9A.4a,0,0,0,0,0,0,0,0
Y74C9A.4b,38,166,72,110,79,391,15,222
Y74C9A.4c,0,0,0,0,0,0,0,0
Y74C9A.4d,0,0,0,0,0,0,0,0
E02A10.3b,0,0,0,0,0,0,0,0
W03G11.7,0,0,0,2,0,0,0,0
W03G11.6,0,0,0,0,0,0,0,0
W03G11.5,0,0,0,0,0,0,0,0
W03G11.3,0,0,0,0,0,0,0,0
W03G11.2,0,0,0,0,0,0,0,0
F49E11.10b.1,0,0,0,0,0,0,0,0
W03G11.9,0,0,0,0,0,0,0,0
W03G11.8,0,0,0,0,0,0,0,0
Y113G7A.4b,0,0,0,0,0,0,0,0
T25F10.1,4,0,0,0,0,0,0,0
C30G4.4j.1,0,0,0,0,0,0,0,0
T25F10.7,0,0,0,0,0,0,0,0
T25F10.4,0,0,0,0,0,0,0,0
C30G4.4j.2,0,0,0,0,0,0,0,0
Y73B6BL.6b.7,0,0,0,0,0,0,0,0
Y73B6BL.6b.6,0,0,0,0,0,0,0,0
Y73B6BL.6b.5,0,0,0,0,0,0,0,0
Y73B6BL.6b.4,0,0,0,0,0,0,0,0
Y73B6BL.6b.3,0,0,0,0,0,0,0,0
Y73B6BL.6b.2,0,0,0,0,0,0,0,0
Y73B6BL.6b.1,0,0,0,0,0,0,0,0
C47E12.7,76,208,117,164,29,175,0,153
Y46G5A.14.2,0,0,0,0,0,0,0,0
F53E10.2d,0,0,0,0,0,0,0,0
F45E1.7a.1,0,0,0,0,0,0,0,0
T07D4.3,222,461,370,221,38,687,16,382
T07D4.1,0,0,0,0,0,0,0,0
T07D4.6,0,0,0,0,0,0,0,0
T07D4.7,24,43,12,12,0,33,5,18
T07D4.5,0,0,0,0,0,0,0,0
T24D1.1a,0,0,0,0,0,0,0,0
T24D1.1b,0,0,31,0,0,0,0,21
T24D1.1c,15,32,0,9,27,35,0,0
T21H3.11,92,205,129,102,314,1175,303,612
T21H3.10,4,4,3,0,10,24,1,6
C24A3.2a.1,0,0,0,0,0,0,0,0
B0495.7.2,0,0,0,0,0,0,0,0
B0495.7.3,427,340,184,416,271,281,204,195
B0495.7.1,0,0,0,0,0,0,0,0
ZK1248.6,42,55,35,22,54,86,18,66
ZK1248.7,112,201,249,128,219,737,112,396
ZK1248.4,1,5,7,1,1,9,0,1
ZK1248.5,0,0,0,0,0,0,0,0
ZK1248.2,0,0,0,0,0,0,0,0
ZK1248.1,0,0,0,0,0,0,0,0
T04C10.4.2,0,0,0,0,0,0,0,0
T04C10.4.1,851,1426,1280,668,2963,4703,611,2671
Y105C5B.1022,0,0,0,0,0,0,0,0
Y105C5B.1023,0,0,0,0,0,0,0,0
Y105C5B.1020,0,0,0,0,0,0,0,0
Y105C5B.1021,0,0,0,0,0,0,0,0
Y105C5B.1026,0,0,0,0,0,0,0,0
Y105C5B.1027,0,0,0,0,0,0,0,0
Y105C5B.1024,0,0,0,0,0,3,0,2
Y105C5B.1025,0,0,0,0,0,0,0,1
Y59A8B.10c,0,0,0,0,0,0,0,0
Y59A8B.10a,0,0,0,0,0,0,0,0
Y105C5B.1029,0,0,0,0,0,0,0,0
F31D4.11,0,0,0,0,0,0,0,0
F31D4.10,0,0,0,0,0,0,0,0
C23H3.5,0,21,62,25,0,63,0,70
F20E11.11,0,0,0,0,0,0,0,0
C23H3.7,90,105,330,44,292,354,93,154
F13D12.11,2,3,9,0,0,7,0,1
F13D12.10,0,0,0,0,0,0,0,0
H16O14.1c,0,0,0,0,0,0,0,0
H16O14.1b,14,79,16,42,22,73,24,58
H16O14.1e,0,0,0,0,0,0,0,0
H16O14.1d,0,0,0,0,0,0,0,0
R03A10.13,0,0,0,0,0,5,0,0
F28C1.10,0,0,0,0,0,0,0,0
F36F2.5,0,0,0,0,0,0,0,0
R03A10.11,0,7,0,0,0,0,0,0
Y20C6A.1b,28,37,41,25,84,196,0,103
T19E10.1b.2,0,0,0,0,0,0,0,0
W10D9.1,0,0,0,0,0,0,0,0
W10D9.2,0,262,97,26,0,0,0,0
T19E10.1b.1,353,418,424,379,176,587,54,414
Y20C6A.1a,0,0,0,0,0,0,0,0
W10D9.7,0,0,0,0,0,0,0,1
M04C3.1d,0,0,0,0,74,128,0,55
ZK822.t1,0,0,0,0,0,0,0,0
K11D9.2b.2,0,0,0,0,0,0,0,0
T24D11.1b,0,0,0,0,0,0,0,0
T28C6.7a.2,0,0,0,0,0,0,0,0
T24D11.1d,0,0,0,0,0,0,0,0
T24D11.1e,3,15,29,18,19,72,5,74
T24D11.1f,0,0,0,0,0,0,0,0
C36C9.8,114,151,21,8,21,37,2,5
B0350.2g.1,0,0,0,0,0,0,0,0
B0350.2g.2,0,0,0,0,0,0,0,0
F32B6.2.1,0,0,0,0,0,0,0,0
Y37E11C.1a.1,37,117,19,42,53,255,10,113
ZK669.5b,0,0,0,0,0,0,0,0
Y37E11C.1a.2,0,0,0,0,0,0,0,0
T19B10.7.2,70,197,58,80,24,83,0,24
T19B10.7.1,0,0,0,0,0,0,0,0
F53F4.5a,0,0,0,0,0,0,0,0
F53F4.5b,0,0,0,0,0,0,0,0
H16O14.11,0,0,0,0,0,0,0,0
H16O14.10,0,0,0,0,0,0,0,0
H16O14.13,0,0,0,0,0,0,0,0
H16O14.12,0,0,0,0,0,0,0,0
H16O14.15,3,4,9,0,0,4,0,1
K06H7.3.1,0,0,0,0,0,0,0,0
K06H7.3.2,0,0,114,0,0,0,0,92
H16O14.16,0,0,0,0,0,0,0,0
H16O14.19,0,0,0,0,0,0,0,0
Y39E4A.3b,89,98,0,62,34,158,0,84
Y39E4A.3a,0,0,86,0,0,0,0,0
F13G11.32,0,6,0,0,1,3,0,2
ZK617.12,0,0,0,0,0,0,0,0
ZK617.13,0,0,0,0,0,0,0,0
ZK617.10,2,10,0,0,3,1,0,0
ZK617.11,0,0,0,0,0,0,0,0
ZK617.16,0,0,0,0,0,9,0,0
ZK617.17,0,0,0,0,0,0,0,0
ZK617.14,0,0,0,0,0,0,0,0
ZK617.15,0,0,0,0,0,0,0,0
Y57G11C.21,0,0,0,0,0,0,0,0
Y57G11C.20,5,21,16,2,3,10,0,6
Y57G11C.23,48,93,80,57,86,329,93,172
ZK617.19,0,0,0,0,0,0,0,0
Y57G11C.25,14,14,5,13,0,1,0,5
Y57G11C.27,7,6,12,2,0,3,0,5
Y57G11C.26,3,6,7,5,0,0,0,2
Y57G11C.707,0,0,0,0,0,0,0,0
ZK1248.16.2,0,0,0,0,0,0,0,0
Y105C5A.927,0,0,0,0,0,0,0,0
Y105C5A.924,0,0,0,0,0,0,0,0
F38H4.9.3,10,5,0,0,299,21,116,24
Y57G11C.704,0,0,0,0,0,0,0,0
Y87G2A.5.1,485,1299,621,667,361,1463,75,932
Y87G2A.5.2,0,0,0,0,0,0,0,0
Y105C5A.922,0,0,0,0,0,0,0,0
C49F5.7,0,0,0,0,0,0,0,0
Y105C5A.923,0,0,0,0,0,0,0,0
F11A10.6a.2,267,517,346,305,58,421,28,454
T06A10.59,0,0,0,0,0,0,0,0
F11A10.6a.1,0,0,0,0,0,0,0,0
Y105C5A.920,3,9,0,4,0,0,0,0
T06A10.50,0,0,0,0,0,6,0,4
T06A10.51,0,0,0,0,0,0,0,0
T06A10.52,0,0,0,0,0,5,0,3
F13G11.38,0,0,0,0,0,2,0,0
T06A10.54,1,0,0,0,0,5,0,0
K01A6.22a,0,0,0,0,0,0,0,0
K01A6.22b,0,0,0,0,0,0,0,0
T06A10.57,0,0,0,0,0,0,0,0
Y71F9AL.10,16,20,18,15,0,16,0,14
ZK897.1e,0,0,0,0,0,0,0,0
Y71F9AL.12,0,0,0,0,0,0,0,0
ZK897.1g,0,0,0,0,0,0,0,0
ZK897.1a,0,0,0,0,0,0,0,0
Y71F9AL.16,331,839,489,456,279,754,42,552
ZK897.1c,0,0,0,0,0,0,0,0
ZK897.1l,0,0,0,0,0,0,0,0
Y71F9AL.19,5,0,0,0,4,0,0,1
ZK897.1n,0,0,0,0,0,0,0,0
ZK897.1o,0,0,0,0,0,0,0,0
ZK897.1h,0,0,0,0,0,0,0,0
ZK897.1i,0,0,0,0,0,0,0,0
ZK897.1j,53,27,76,42,45,100,22,24
ZK897.1k,0,0,0,0,0,0,0,0
F45B8.16,0,0,0,0,0,0,0,0
F45B8.17,0,0,0,0,0,0,0,0
F45B8.14,0,0,0,0,0,0,0,0
F45B8.15,0,0,0,0,0,0,0,0
ZK897.1p,0,0,0,0,0,0,0,0
ZK897.1q,0,0,0,0,0,0,0,0
ZK897.1r,0,0,0,0,0,0,0,0
ZK897.1s,0,0,0,0,0,0,0,0
F45B8.18,0,0,0,0,0,0,0,0
T24D8.8a,0,0,0,0,0,1,0,0
AH6.16,0,0,0,0,0,0,0,0
AH6.17,0,0,0,0,0,0,0,0
AH6.14,0,0,0,0,0,0,0,0
AH6.12,0,0,0,0,0,0,0,0
AH6.13,0,0,0,0,0,0,0,0
AH6.10,0,0,0,0,0,0,0,0
AH6.11,0,0,0,0,0,0,0,0
K01C8.7b,0,0,0,0,0,0,0,0
K01C8.7a,22,48,7,9,0,0,0,34
C23G10.7a,0,0,0,0,0,0,0,0
C23G10.7b,28,173,80,113,0,262,0,146
C23G10.7c,0,0,0,0,0,0,0,0
F59F3.2,0,0,0,0,0,0,0,0
R12A1.4,0,0,0,0,0,23,0,0
R12A1.5,0,0,0,3,0,0,0,0
T21H3.1b,0,0,0,0,0,0,0,0
Y50D4B.10,0,0,0,0,0,374,0,0
Y67A10A.9,2,6,1,3,7,1,0,14
Y67A10A.4,37,55,25,20,20,118,11,58
Y67A10A.5,0,0,0,0,0,1,0,7
Y67A10A.7,20,7,10,18,0,5,19,0
Y67A10A.1,108,169,265,140,376,1691,62,661
Y67A10A.2,0,5,0,0,0,0,6,0
C16D9.15,0,0,0,0,0,0,0,0
Y45F3A.3b.2,0,50,30,67,0,77,0,30
Y45F3A.3b.1,0,0,0,0,0,0,0,0
F28C1.1,111,178,101,75,119,168,0,170
C39H7.19,0,0,0,0,0,0,0,0
C39H7.18,0,0,0,0,0,0,0,0
C39H7.11,0,0,0,0,0,0,0,0
C39H7.10,0,0,0,0,0,0,0,0
C39H7.13,0,0,0,0,0,0,0,0
C39H7.12,0,0,0,0,0,0,0,0
C39H7.15,0,0,0,0,0,0,0,0
C39H7.14,0,4,0,0,0,0,0,0
C39H7.17,0,0,0,0,0,0,0,0
C39H7.16,0,0,0,0,0,0,0,0
K11E8.7,0,0,0,0,0,0,0,0
Y50D4B.1a,0,0,0,0,0,0,0,3
Y50D4B.1b,0,0,0,0,0,0,0,0
Y50D4B.1c,0,0,0,0,0,0,0,0
Y51H4A.358,0,0,0,0,0,0,0,0
