,CBA,CBB,CBC,CBD,N2A,N2B,N2C,N2D
WBGene00195554,1,0,4,0,1,1,1,0
WBGene00047247,0,0,0,0,0,0,0,0
WBGene00168698,0,0,0,0,0,0,0,0
WBGene00168699,0,0,0,0,0,0,0,0
WBGene00168696,0,0,0,0,0,0,0,0
WBGene00168697,0,0,0,0,0,0,0,0
WBGene00168694,0,0,0,0,0,0,0,0
WBGene00168695,0,0,0,0,0,0,0,0
WBGene00168692,0,0,0,0,0,0,0,0
WBGene00168693,0,0,0,0,0,0,0,0
WBGene00168690,0,0,0,0,0,0,0,0
WBGene00168691,0,0,0,0,0,0,0,0
WBGene00046035,0,0,0,0,0,0,1,0
WBGene00046034,1,0,0,0,0,0,0,0
WBGene00201539,2,0,0,0,0,0,0,0
WBGene00046036,0,0,0,0,0,0,0,0
WBGene00046031,0,0,0,0,0,0,0,0
WBGene00046030,0,0,0,0,0,0,0,0
WBGene00046033,0,0,0,0,0,0,0,0
WBGene00046032,1,1,1,1,0,1,1,1
WBGene00201533,0,0,0,0,0,0,0,0
WBGene00201532,0,0,0,0,0,0,0,0
WBGene00201531,0,0,0,0,0,0,0,1
WBGene00201530,0,1,0,3,0,0,0,0
WBGene00046039,2,0,1,0,2,0,3,1
WBGene00201536,0,0,0,0,0,0,0,0
WBGene00201535,0,0,0,0,0,0,0,0
WBGene00201534,1,1,1,0,0,1,0,1
WBGene00007732,4179,5482,5978,4533,4927,5173,5111,4334
WBGene00164998,0,0,0,0,0,0,0,0
WBGene00164995,0,0,0,0,0,0,0,0
WBGene00164994,1,0,0,0,0,0,0,0
WBGene00164997,0,0,0,0,0,0,0,0
WBGene00164996,0,0,0,0,0,0,0,0
WBGene00164991,0,0,0,0,0,0,0,0
WBGene00164993,0,0,0,0,0,0,0,0
WBGene00164992,0,1,0,0,0,0,0,0
WBGene00168528,0,0,0,0,0,0,0,0
WBGene00168529,0,0,0,0,0,0,0,0
WBGene00168520,0,0,0,0,0,0,0,0
WBGene00168521,0,0,0,0,0,0,0,0
WBGene00168522,0,0,0,0,0,0,0,0
WBGene00168523,0,0,0,0,0,0,0,0
WBGene00168524,0,0,0,0,0,0,0,0
WBGene00168525,0,0,0,0,0,0,0,0
WBGene00168526,0,0,0,0,0,0,0,0
WBGene00168527,0,0,0,0,0,0,0,0
WBGene00050281,0,0,0,0,0,0,0,0
WBGene00050280,0,0,0,0,0,0,0,0
WBGene00050283,0,0,0,0,0,0,0,0
WBGene00050282,0,0,0,0,0,0,0,1
WBGene00050285,0,0,0,0,0,0,0,0
WBGene00050284,0,0,0,0,0,0,0,0
WBGene00050287,0,0,0,0,0,0,0,0
WBGene00050286,0,0,0,0,0,0,1,0
WBGene00050289,0,0,0,0,0,0,0,0
WBGene00050288,0,0,0,0,1,0,1,0
WBGene00198117,0,0,0,0,0,0,0,0
WBGene00168321,0,0,0,0,1,0,0,0
WBGene00050139,0,0,0,0,0,0,0,0
WBGene00165119,0,0,0,0,0,0,0,0
WBGene00022983,0,1,0,0,0,1,1,1
WBGene00022982,0,2,0,0,0,1,0,0
WBGene00165110,0,0,0,0,0,0,0,0
