,CBA,CBB,CBC,CBD,N2A,N2B,N2C,N2D
WBGene00050130,0,0,0,0,0,0,0,0
WBGene00165116,0,0,0,0,0,0,0,0
WBGene00197277,6,14,9,10,10,3,6,11
WBGene00165114,0,0,0,0,0,0,0,0
WBGene00165115,0,0,0,0,0,0,0,0
WBGene00167239,0,0,0,0,0,0,0,0
WBGene00173418,1,1,1,0,0,0,0,0
WBGene00020755,20,15,39,5,11,0,15,0
WBGene00045586,0,0,0,0,0,0,0,0
WBGene00199778,2,1,0,0,2,1,0,0
WBGene00048132,0,0,0,0,0,0,0,0
WBGene00048133,0,1,0,0,1,0,1,0
WBGene00048130,0,0,0,0,0,0,0,0
WBGene00048131,0,0,0,0,0,0,0,0
WBGene00048136,0,0,0,0,0,0,0,0
WBGene00048137,0,0,0,0,0,0,0,0
WBGene00048134,0,0,0,0,0,0,0,0
WBGene00048135,0,0,1,0,0,1,0,0
WBGene00048138,0,0,0,0,0,0,0,0
WBGene00048139,0,0,0,0,0,0,0,0
WBGene00046037,0,0,0,0,0,0,0,0
WBGene00201538,13,5,6,2,12,1,6,4
WBGene00045078,871,1148,1054,999,1124,1375,1485,1544
WBGene00045074,7,18,13,10,8,8,10,7
WBGene00045075,0,0,0,0,0,0,0,0
WBGene00045076,0,0,0,0,14,3,0,0
WBGene00045077,280,360,279,300,374,429,398,332
WBGene00045071,7,5,4,2,9,3,8,1
WBGene00045072,4,5,4,5,12,3,6,3
WBGene00197485,2,2,1,1,0,1,1,1
WBGene00016188,4107,5929,5465,4603,4059,4913,4648,4575
WBGene00016189,129,269,99,135,64,108,77,102
WBGene00197898,2,2,3,2,4,0,1,0
WBGene00197899,0,1,2,0,3,0,2,0
WBGene00016180,592,883,1062,517,902,947,812,505
WBGene00197897,0,0,0,0,0,0,0,1
WBGene00016182,11324,13668,11562,12537,8601,10792,11321,13113
WBGene00197895,10,70,52,56,11,36,33,21
WBGene00197892,0,1,0,0,1,2,0,1
WBGene00197893,0,0,0,0,0,0,0,0
WBGene00197890,0,3,5,2,0,0,0,2
WBGene00197891,1,0,0,0,0,0,0,0
WBGene00007472,152,144,99,110,61,47,53,124
WBGene00198978,0,0,1,0,0,0,1,0
WBGene00198979,5,0,2,1,9,7,2,2
WBGene00198974,0,0,0,0,0,0,0,0
WBGene00198975,1,3,2,0,6,1,2,2
WBGene00198976,0,0,0,0,0,0,0,0
WBGene00198977,1,1,0,0,0,0,0,0
WBGene00198970,1,1,1,1,0,1,1,1
WBGene00198971,0,2,0,0,4,0,0,0
WBGene00198972,0,0,0,0,0,0,0,0
WBGene00198973,0,0,0,0,1,0,0,0
WBGene00201101,0,0,0,0,0,0,0,0
WBGene00007473,231,284,152,180,120,139,183,306
WBGene00019203,10518,14976,12194,10390,8558,9224,9857,11541
WBGene00019200,319,494,360,275,233,231,221,311
WBGene00019201,0,0,0,0,0,0,0,0
WBGene00019207,21153,30659,26214,23512,20450,22080,22099,22769
WBGene00019204,9235,12205,10608,8756,7471,8073,7688,6725
WBGene00019205,22826,29804,27335,23565,18548,19043,19096,20091
WBGene00164999,1,0,0,1,3,0,0,1
WBGene00019208,216,277,331,279,114,120,160,232
WBGene00019209,40332,53936,50439,45405,38570,44722,44264,46571
WBGene00016452,2930,3929,3357,2997,2507,2906,2928,2615
WBGene00016453,1004,1504,882,1042,284,845,761,858
WBGene00016450,20744,27024,23497,19151,17290,18376,19340,17156
WBGene00016451,127,174,163,184,137,107,96,124
WBGene00016456,888,907,940,673,719,660,652,560
WBGene00016457,1507,2490,1199,1754,457,1205,1049,1261
WBGene00016454,619,1012,895,764,555,664,589,608
WBGene00016455,124,172,94,124,54,91,92,161
WBGene00165800,0,0,0,0,0,0,0,0
WBGene00165801,0,0,0,0,0,0,0,0
WBGene00016458,2674,3746,3093,2387,2333,2922,2390,2499
WBGene00016459,90,105,85,49,36,18,18,29
WBGene00165804,0,0,0,0,0,0,0,0
WBGene00165805,0,0,0,0,0,0,0,0
WBGene00165806,0,0,0,0,0,0,0,0
WBGene00165807,0,0,0,0,0,0,0,0
WBGene00195214,35,25,27,24,27,19,21,17
WBGene00197489,1,1,0,0,1,0,0,0
WBGene00044309,8,0,0,0,6,0,0,0
WBGene00044308,0,0,0,0,0,0,0,0
WBGene00020730,140,229,239,208,362,342,331,230
WBGene00044305,8092,10957,9295,8673,6499,8268,8509,8880
WBGene00044304,599,788,811,550,534,479,489,482
WBGene00044307,17,13,10,4,0,0,0,3
WBGene00044306,44,71,28,24,0,3,4,8
WBGene00044301,702,1006,892,692,721,783,720,760
WBGene00044300,1878,2069,2100,1514,1520,1534,1508,1487
WBGene00044303,267,302,316,234,203,217,258,201
WBGene00044302,302,314,296,364,192,153,165,267
WBGene00007775,1260,1404,1317,987,1265,1067,1020,1132
WBGene00021519,521,619,744,363,412,419,434,263
WBGene00021518,4362,5297,5948,4118,4303,4781,4834,4380
WBGene00021515,1645,2267,1789,1888,1478,1884,1952,2404
WBGene00021514,7893,8070,8113,7972,10144,11062,11470,11876
WBGene00021517,18,30,19,24,14,15,22,22
WBGene00021516,95,140,125,118,107,104,95,92
WBGene00021511,209,229,201,147,160,144,145,155
WBGene00007777,7232,8825,8290,6633,5831,6078,6601,6957
WBGene00021513,0,0,0,0,0,0,0,0
WBGene00021512,9591,12909,11181,11855,7027,10380,10971,12443
WBGene00167136,0,0,0,0,0,0,0,0
WBGene00199617,0,0,0,0,0,0,0,0
WBGene00003850,233,418,393,343,199,255,272,271
WBGene00199614,0,1,0,0,2,1,0,0
WBGene00007770,0,12,9,0,241,243,211,107
WBGene00003393,25343,33191,30567,30445,22338,29478,30632,35087
WBGene00010703,9288,12160,11433,8466,8837,8623,8946,8448
WBGene00023361,0,0,0,0,0,0,0,0
WBGene00199612,0,0,0,0,0,0,0,0
WBGene00023362,0,0,0,0,0,0,0,0
WBGene00199613,0,1,0,0,1,0,0,0
WBGene00023363,0,0,0,0,0,0,0,0
WBGene00010706,1157,1237,1572,1191,543,508,491,731
WBGene00007474,3053,3287,2625,3023,2948,2788,3342,3802
WBGene00003397,25991,31936,25441,26711,18505,23297,23753,29375
WBGene00010707,115,88,45,73,5,10,26,35
WBGene00023365,1,1,1,1,1,1,1,1
WBGene00023366,0,0,0,0,0,0,0,0
WBGene00167233,0,0,0,0,0,0,0,0
WBGene00023367,0,0,0,0,0,0,0,0
WBGene00016118,43448,53443,52872,47223,39924,42178,43599,44640
WBGene00167402,1,1,0,1,0,1,0,0
WBGene00167403,0,0,0,0,0,0,0,0
WBGene00167400,0,0,0,0,0,0,1,0
WBGene00167401,0,0,0,0,0,0,0,0
WBGene00199366,1,0,0,1,2,3,1,3
WBGene00167407,0,0,0,0,0,0,0,0
WBGene00199364,0,0,0,0,0,0,0,0
WBGene00167405,0,0,0,0,0,0,0,0
WBGene00199368,0,1,0,0,1,0,2,0
WBGene00167409,1,1,1,1,1,1,1,1
WBGene00005565,0,0,0,0,0,0,0,0
WBGene00172963,0,0,0,0,0,0,0,1
WBGene00172962,0,0,0,0,0,0,0,0
WBGene00172961,0,0,0,0,0,0,0,0
WBGene00172960,0,0,0,0,0,0,0,0
WBGene00172967,0,0,0,0,0,0,0,0
WBGene00172966,2,0,0,0,0,1,0,0
WBGene00172965,0,0,0,0,0,0,0,0
WBGene00172964,0,0,0,0,0,0,0,0
WBGene00172969,0,1,0,0,0,0,1,1
WBGene00172968,0,0,0,0,0,0,0,0
WBGene00197807,0,0,0,0,0,0,0,0
WBGene00165726,1,2,1,1,1,0,0,0
WBGene00197801,2,0,0,0,0,0,0,0
WBGene00197800,0,0,0,0,0,0,0,0
WBGene00197803,28,34,17,11,22,14,18,16
WBGene00165722,0,0,0,0,0,0,0,0
WBGene00002180,2131,3158,2636,2582,2112,2593,2718,3139
WBGene00023119,0,0,0,0,0,0,0,0
WBGene00023118,0,0,0,0,0,0,0,0
WBGene00023117,1,1,0,1,0,1,1,1
WBGene00165729,0,0,0,0,0,0,0,0
WBGene00023115,0,0,0,0,0,0,0,0
WBGene00023113,0,0,0,0,0,0,0,0
WBGene00023112,0,0,0,0,0,0,0,0
WBGene00023111,0,0,0,0,0,0,0,0
WBGene00023110,0,0,0,0,0,0,0,0
WBGene00198013,0,1,1,0,0,0,0,0
WBGene00200603,0,1,1,0,0,2,0,1
WBGene00197509,0,1,0,0,2,0,0,0
WBGene00198012,0,1,0,0,0,0,0,0
WBGene00008017,219,291,265,183,25,59,40,50
WBGene00171430,0,0,0,0,0,0,0,0
WBGene00171431,0,0,0,0,0,0,0,0
WBGene00171432,0,0,0,0,0,0,0,0
WBGene00171433,0,0,0,0,0,0,0,0
WBGene00171434,0,0,0,0,0,0,0,0
WBGene00171435,0,1,0,0,0,0,0,0
WBGene00171436,0,0,0,0,0,0,0,0
WBGene00171437,0,0,0,0,0,0,0,0
WBGene00171438,1,1,0,0,0,0,0,0
WBGene00171439,0,0,0,0,0,0,0,0
WBGene00198011,0,0,0,0,0,0,0,0
WBGene00173368,0,0,0,0,0,0,0,0
WBGene00173369,0,0,0,0,0,0,0,0
WBGene00173362,0,0,0,0,0,0,0,0
WBGene00173363,0,0,0,0,0,0,0,0
WBGene00173360,0,0,1,0,0,0,0,0
WBGene00173361,0,0,0,0,0,0,0,0
WBGene00173366,0,0,0,0,0,0,0,0
WBGene00173367,0,0,0,0,0,0,0,0
WBGene00173364,0,0,0,0,0,0,0,0
WBGene00173365,0,0,0,0,0,0,0,0
WBGene00255522,0,5,0,0,0,0,0,0
WBGene00008019,11273,15060,16031,11679,11367,12062,11542,9726
WBGene00008018,842,1499,1127,970,953,1243,1144,1191
WBGene00014930,0,0,2,1,0,0,0,0
WBGene00198016,2,1,3,3,2,5,1,0
WBGene00006795,13369,16130,13240,13985,10221,14223,14372,16758
WBGene00022796,51,56,48,15,53,50,50,46
WBGene00022797,3290,3901,2982,2767,2991,2544,2403,2675
WBGene00022794,5631,6674,5187,5326,4449,5595,5627,6221
WBGene00006865,3079,3696,4963,2875,2241,2038,1772,1233
WBGene00022792,16760,17546,17258,17876,13777,15311,15684,17141
WBGene00022793,39005,50613,50622,40891,39418,42033,41297,40576
WBGene00022790,166,233,194,161,147,148,140,114
WBGene00006861,13322,18134,12562,13301,9849,10926,11670,14975
WBGene00022798,5041,6074,6170,4694,5005,5594,5311,5283
WBGene00006869,1098,1394,1858,1173,1140,1275,1063,747
WBGene00195313,0,0,0,0,0,0,0,0
WBGene00010748,0,0,0,0,0,0,0,0
WBGene00003986,29189,35579,29308,28259,28154,23281,22969,20851
WBGene00003987,2307,2880,1788,2283,1886,2157,2485,3341
WBGene00007405,1085,2083,1418,1427,1180,1562,1356,1102
WBGene00007404,326,433,379,336,296,254,343,344
WBGene00003982,73314,91651,84722,78897,66466,66516,70392,76124
WBGene00007402,3495,4075,3898,3284,3372,3521,3419,3472
WBGene00007401,77,156,75,61,60,92,67,54
WBGene00003981,21911,25335,33145,19529,17971,17261,15724,8734
WBGene00007409,1912,2500,2253,1644,1839,1610,1725,1586
WBGene00007408,73,91,83,100,111,106,94,115
WBGene00195312,0,0,0,0,0,0,0,0
WBGene00009085,22,0,16,0,4,11,17,17
WBGene00197278,4,0,1,0,2,2,2,3
WBGene00202419,0,3,0,0,0,0,0,0
WBGene00202418,0,0,0,0,0,0,0,0
WBGene00170479,0,0,0,0,0,0,0,0
WBGene00170478,0,0,0,0,0,0,0,0
WBGene00165896,0,0,0,0,0,0,0,0
WBGene00170473,1,0,1,1,1,1,0,2
WBGene00202410,1,5,2,3,0,3,3,1
WBGene00202413,0,0,0,0,0,0,0,0
WBGene00202412,0,0,0,0,0,0,0,0
WBGene00170477,0,0,0,0,0,0,0,0
WBGene00050791,0,0,0,0,0,0,0,0
WBGene00202417,3,2,1,0,1,0,0,1
WBGene00202416,0,1,0,0,0,0,2,0
WBGene00001580,16923,21971,18336,18878,13747,17182,18211,21120
WBGene00001581,267456,371901,324518,302247,365455,401827,406276,447518
WBGene00001582,20759,26125,22467,21544,16072,19404,19455,21522
WBGene00001583,1971,2942,2350,2167,1835,2374,2344,2511
WBGene00001584,18555,20490,18509,18532,15145,17873,17899,20525
WBGene00001585,3768,4592,3647,4123,3069,3715,3843,4638
WBGene00001586,212,316,313,239,186,230,226,232
WBGene00001587,399,459,518,383,375,379,305,247
WBGene00001588,309,469,400,322,288,286,292,308
WBGene00001589,10581,14855,13044,12437,10332,12654,13159,14352
WBGene00168373,0,0,0,1,1,0,0,0
WBGene00050796,0,0,0,0,1,0,0,0
WBGene00172185,0,0,0,0,0,0,0,0
WBGene00172184,1,1,1,1,1,1,1,1
WBGene00172187,0,0,0,0,0,0,0,0
WBGene00172186,0,0,0,0,0,0,0,0
WBGene00172181,0,0,0,0,0,0,0,0
WBGene00050795,0,0,0,0,0,0,0,0
WBGene00172183,0,0,0,0,0,0,0,0
WBGene00050132,0,0,0,0,0,0,0,0
WBGene00198255,0,0,0,0,0,0,0,0
WBGene00045652,0,0,0,0,0,0,0,0
WBGene00172189,0,0,0,0,1,0,0,0
WBGene00050131,0,0,0,0,0,0,0,0
WBGene00198254,0,1,0,0,1,0,1,1
WBGene00165111,0,0,0,0,0,0,0,0
WBGene00198257,0,0,0,0,1,1,1,0
WBGene00167175,0,0,0,0,0,0,0,0
WBGene00050137,0,1,0,0,0,0,0,0
WBGene00168376,0,0,0,0,0,0,0,0
WBGene00002583,45380,62217,51788,46230,38147,49930,47261,51484
WBGene00050136,0,0,0,0,0,0,0,0
WBGene00006792,2109,2010,2555,2085,2278,2100,2051,2043
WBGene00168379,0,1,0,1,0,0,0,0
WBGene00022985,0,1,0,0,0,0,0,0
WBGene00198258,3,0,2,1,2,5,0,2
WBGene00197275,4,0,0,0,0,0,0,0
WBGene00000987,14287,17623,17228,10954,12930,14393,13978,14452
WBGene00000986,200,180,192,200,441,320,384,732
WBGene00000985,16791,21645,19066,17161,13827,16905,17081,18277
WBGene00000984,8973,8454,8563,9568,7117,6351,6793,9098
WBGene00000983,4175,4173,4809,4595,4028,3672,3898,5202
WBGene00000982,12095,16739,15702,11822,7151,8451,7825,8630
WBGene00000981,5824,7154,7100,6445,6765,6686,6498,7541
WBGene00000980,1415,1991,1404,1635,917,1463,1541,1956
WBGene00198355,4,1,0,3,1,0,0,0
WBGene00000989,369,798,476,575,1294,1300,1550,3107
WBGene00000988,29873,40185,34470,41560,32713,29923,35766,45810
WBGene00171988,0,0,0,0,0,0,0,0
WBGene00171989,0,0,0,0,0,0,0,0
WBGene00002632,9123,12540,11578,8695,8850,9532,9212,9171
WBGene00171980,0,0,0,0,0,0,0,0
WBGene00171981,0,0,0,0,0,0,0,0
WBGene00171982,0,0,0,0,0,0,0,0
WBGene00171983,0,0,0,0,0,0,0,0
WBGene00171984,0,0,0,0,0,0,0,0
WBGene00171985,0,0,0,0,0,0,0,0
WBGene00171986,0,0,0,0,0,0,0,0
WBGene00171987,0,0,0,0,0,0,0,0
WBGene00198356,0,0,0,0,1,0,0,0
WBGene00014160,70,62,63,44,52,51,53,65
WBGene00014161,82,87,61,68,95,47,40,64
WBGene00014162,34,37,29,35,9,19,8,14
WBGene00014163,2767,3125,2847,3164,2339,2971,2984,3729
WBGene00014164,8320,10234,10725,7110,6297,6434,7065,6428
WBGene00014165,63301,66688,67819,61781,61579,60903,62297,65355
WBGene00014166,723,1016,652,738,497,698,756,1066
WBGene00014168,1327,1613,1454,1098,1102,1158,1213,1245
WBGene00014169,8126,10100,9059,6969,6599,6913,7591,8817
WBGene00000671,6115,10572,5659,7763,4404,5314,6828,8957
WBGene00000670,3995,10721,3272,4709,2532,3640,4641,7215
WBGene00000673,43426,99940,44383,70052,52577,69314,84902,144965
WBGene00000672,116940,155722,221191,124952,144998,151441,143790,77664
WBGene00000675,48522,123397,43984,77986,53804,77903,93663,145858
WBGene00000674,3231,4322,5411,3576,3781,4149,3651,2646
WBGene00000677,44860,105079,46500,72235,51166,71297,87147,145133
WBGene00018808,0,0,5,0,990,1531,1718,2229
WBGene00018807,597,737,626,515,585,569,579,590
WBGene00018806,2110,3006,2147,2740,1876,3094,3208,4259
WBGene00018805,439,432,418,390,308,402,433,443
WBGene00018804,607,675,619,548,543,467,449,527
WBGene00018803,312,846,597,344,324,454,378,395
WBGene00018802,15749,19890,18197,17557,13149,15699,16395,17819
WBGene00005009,11944,18152,15943,13963,10665,14665,14581,16201
WBGene00005008,2556,3855,3007,2880,1513,2306,2213,2412
WBGene00005001,2835,3168,3132,2906,3031,2826,2981,3546
WBGene00005000,3158,4210,3898,3001,2667,3333,3239,3310
WBGene00005003,3164,3367,3459,3379,3296,3670,3496,4210
WBGene00005002,27206,38052,31019,26779,24373,23981,26058,21854
WBGene00005005,0,6,0,0,6,0,5,0
WBGene00005004,124,157,164,122,111,109,124,105
WBGene00005007,17277,21833,16920,18849,12412,16272,16980,19957
WBGene00005006,9121,10401,8489,8952,6703,8298,8441,10037
WBGene00047308,0,0,0,0,0,0,0,0
WBGene00047309,0,0,0,0,0,0,0,0
WBGene00047304,0,0,0,0,0,0,0,0
WBGene00047305,0,0,0,0,0,0,0,0
WBGene00047306,0,0,0,0,0,0,0,0
WBGene00047307,0,0,0,0,0,0,0,0
WBGene00047300,0,0,0,0,0,0,0,0
WBGene00047301,0,0,0,0,0,0,0,0
WBGene00047302,0,0,0,0,0,0,0,0
WBGene00047303,0,0,0,0,0,0,0,0
WBGene00201339,0,0,0,0,0,1,0,0
WBGene00201338,2,2,2,2,0,1,3,4
WBGene00201331,0,0,0,0,0,0,0,0
WBGene00201330,0,0,0,0,0,0,1,0
WBGene00201333,0,0,0,0,0,0,0,1
WBGene00201332,0,0,0,0,0,0,0,0
WBGene00201335,1,1,1,1,1,1,1,1
WBGene00201334,0,0,1,2,1,0,0,0
WBGene00201337,0,0,0,0,0,0,0,0
WBGene00201336,0,0,0,0,0,0,0,0
WBGene00022249,55,71,66,75,45,37,36,30
WBGene00022996,0,0,0,0,0,0,0,0
WBGene00015691,12838,17726,14625,13245,9088,12931,12433,13572
WBGene00011531,7639,9745,9805,7431,7722,7911,7630,7006
WBGene00015693,314,448,304,250,2131,2804,2712,2465
WBGene00015692,122,111,149,98,3096,3901,3917,3161
WBGene00015695,7343,8441,7199,5701,6599,5044,5892,6603
WBGene00015694,39,68,45,16,28,15,20,23
WBGene00011536,8311,10041,10152,8126,6012,5791,6139,4624
WBGene00015696,1787,2211,1768,1404,1386,1475,1613,1888
WBGene00011538,11574,13646,13433,13482,12004,13054,13853,14428
WBGene00015698,10818,15543,12300,14360,9803,14600,16692,21179
WBGene00174589,0,0,0,0,0,0,0,0
WBGene00043534,962,1291,1305,925,787,698,794,598
WBGene00169633,0,0,0,0,0,0,0,0
WBGene00169632,0,0,0,0,0,0,0,0
WBGene00004354,265,387,167,255,322,675,648,970
WBGene00004355,30681,37157,33898,32065,25676,32383,31610,34886
WBGene00169637,0,0,0,0,0,0,0,0
WBGene00004353,251,351,199,256,91,173,185,228
WBGene00004350,2932,4229,3429,3404,2489,3506,3316,3692
WBGene00004351,155,232,132,194,357,783,789,1102
WBGene00169639,0,0,0,0,1,0,1,1
WBGene00169638,0,0,0,0,0,0,0,0
WBGene00004358,43318,52306,40718,48696,35391,33905,39795,50471
WBGene00004359,1160,1258,1101,939,929,864,882,983
WBGene00015349,9299,11301,10211,9303,7299,8674,9005,9879
WBGene00015348,3521,4242,3445,2870,2928,2979,3367,4120
WBGene00018119,4306,4275,3517,2531,3028,2432,2834,3078
WBGene00018118,2177,2671,2408,2296,1867,2208,2408,2348
WBGene00018115,120,161,174,126,112,99,135,101
WBGene00018114,0,31,15,0,0,10,7,5
WBGene00018117,1565,2411,1983,1631,1357,1262,1374,1558
WBGene00015340,36079,39141,42304,35538,26864,25984,26761,18491
WBGene00018111,451,536,494,388,402,328,389,309
WBGene00015346,13486,15516,14818,13773,12704,13861,14087,14393
WBGene00015345,586,690,660,461,517,488,634,705
WBGene00018112,1073,1565,1407,1166,748,773,951,1802
WBGene00005917,0,0,0,0,0,0,0,0
WBGene00005916,0,0,0,0,0,0,0,0
WBGene00005915,0,0,0,0,0,0,0,0
WBGene00009089,51,83,24,49,25,30,19,37
WBGene00005913,6,4,3,3,3,0,0,0
WBGene00005912,13,28,11,9,18,15,5,5
WBGene00005911,0,0,0,0,0,0,0,0
WBGene00005910,36,116,108,86,2,50,66,64
WBGene00005919,0,0,0,0,0,0,0,0
WBGene00005918,0,0,0,0,0,0,0,0
WBGene00008521,14470,20073,13424,15209,12099,12289,13691,15291
WBGene00009088,31,50,29,29,7,14,10,7
WBGene00008523,4,0,0,0,0,0,0,0
WBGene00008522,877,1537,1278,1034,766,839,891,1002
WBGene00008524,30,21,24,15,23,14,20,13
WBGene00008527,6,4,7,13,0,0,0,5
WBGene00008526,268,435,197,263,67,260,205,280
WBGene00008529,3519,3772,3141,2442,2379,2620,2641,3150
WBGene00008528,3638,4579,4039,4011,3128,3985,3979,4546
WBGene00003511,6722,22484,19194,11513,5607,13576,12486,11538
WBGene00003510,2307,3838,3053,3028,2782,4401,4713,5143
WBGene00003515,134128,173775,173334,136223,123629,132498,128682,107811
WBGene00003514,97043,145529,124127,97076,96109,102089,98899,77603
WBGene00003517,3249,4862,3226,3764,3681,3804,4238,5252
WBGene00003516,5232,7534,8365,5328,4191,4951,4546,3476
WBGene00003519,6311,12099,10445,8163,5697,7729,7345,7141
WBGene00003518,3063,3606,4242,2955,2541,2603,2462,2248
WBGene00012708,4,79,58,51,8,46,30,27
WBGene00201807,8,0,3,0,4,0,1,0
WBGene00201806,0,0,0,2,1,1,0,0
WBGene00201805,0,0,1,0,0,1,1,0
WBGene00201804,2,2,1,2,1,0,3,0
WBGene00201803,4,5,2,6,3,5,6,4
WBGene00201802,0,0,0,0,0,0,0,0
WBGene00201801,0,0,0,0,0,0,0,0
WBGene00201800,2,0,0,0,7,0,0,0
WBGene00201809,1,0,0,0,0,0,0,2
WBGene00201808,0,0,0,0,0,0,0,0
WBGene00045278,5,6,7,6,11,6,9,7
WBGene00045279,711,960,770,684,585,661,670,789
WBGene00045272,1314,1745,1322,1551,1029,826,931,1003
WBGene00045273,207,308,176,197,188,179,226,279
WBGene00045270,144,132,115,110,66,114,88,104
WBGene00045271,2399,2783,2087,2008,1890,1895,2342,2505
WBGene00045276,858,5959,4712,3461,1017,3873,3976,3551
WBGene00045277,131,219,221,153,132,143,175,128
WBGene00045275,707,2598,1915,1234,708,2028,1916,1799
WBGene00013978,1780,2037,2170,1556,1686,1674,1588,1458
WBGene00013979,1612,1638,1765,1288,1619,1551,1559,1438
WBGene00013972,0,0,0,0,0,0,0,0
WBGene00013973,0,0,0,0,0,0,0,0
WBGene00013970,1099,2102,2080,1570,989,1273,1223,1116
WBGene00013971,0,0,0,0,0,0,0,0
WBGene00013976,800,963,781,699,678,639,776,830
WBGene00013974,51,66,54,43,36,38,30,25
WBGene00013975,277,523,247,380,290,259,298,448
WBGene00010582,24235,27538,27192,26303,21162,23929,24769,26565
WBGene00012379,4009,5871,6544,4816,4084,3857,3986,3161
WBGene00012378,30,8,0,20,10,0,9,8
WBGene00012373,336,408,387,378,802,832,859,890
WBGene00012372,146,172,208,179,121,189,136,140
WBGene00012371,5813,8466,5315,4540,6969,5415,5399,5502
WBGene00012370,2924,3763,3541,3373,2635,3192,3165,3345
WBGene00012377,0,0,0,0,1,1,0,0
WBGene00012376,41277,51031,49012,42454,34753,35987,37378,37949
WBGene00012375,13236,16400,15654,14306,14177,15409,15519,16560
WBGene00012374,127,138,98,108,135,128,125,150
WBGene00219352,45,56,37,38,15,12,13,17
WBGene00219351,22,17,5,22,0,0,0,0
WBGene00019441,4102,4497,3935,3842,4543,4736,4752,5096
WBGene00019442,0,0,0,0,0,0,0,0
WBGene00019443,0,0,0,0,0,0,0,0
WBGene00008759,83,83,27,38,0,0,3,6
WBGene00019445,82,138,84,80,53,72,57,79
WBGene00007878,838,1598,1182,1013,754,1074,1022,1142
WBGene00007876,865,1457,1247,714,3,3,10,7
WBGene00007877,6135,10297,9548,6997,5865,7028,6919,6402
WBGene00007874,1807,1891,2767,1382,1333,1392,1127,469
WBGene00007875,19221,42076,24949,15247,3635,5847,5716,2804
WBGene00007872,300,443,433,221,134,198,112,34
WBGene00007873,228,339,322,153,117,150,105,27
WBGene00007870,0,0,0,0,298,327,347,404
WBGene00007871,2117,2224,3225,1598,1537,1582,1291,547
WBGene00016610,18693,24963,20205,22010,14691,17602,17823,23009
WBGene00016611,15971,18387,19620,13078,14748,14212,12839,10640
WBGene00016612,3018,3601,2846,2582,1933,2056,2401,2975
WBGene00016613,829,973,877,661,600,517,681,563
